Id=melecie
Title=Melecie's Magic
Description=My take on the Elemental formula, with rather complex and advanced combinations + lots of elements and categories = Melecie's Magic. Only some elements have descriptions.
Version=Beta

Light:			  #FFFFB0
Shadow:			  #222222
Flame:			  #FF9142
Sea:			    #565BB8
Sky:			    #B2AAF0
Life:			    #3DE068
Frost:			  #B8FFFD
Land:			    #755A36
Fauna:			  #AB8D59
Flora:			  #3C5C3B
Metallic: 	  #BDBDBD
Song:			    #8452A1
Chronal:		  #E6DA8C
Astral:			  #3C3C4D
Electric:		  #FFE926
Humanity: 		#968CFF
Materials:		#A64C4C
Construction:	#FF3333
Vehicular:		#996D63
Numeral:		  #AAAAAA
Geometric:		#888888
Literal: 		  #555555
Color: 			  #FFFFFF
Sciences:		  #8DE388
Magical:		  #301E3D
Landmass:		  #33221A
Clothing:		  #E6C8D6
Arts:			    #4D3736
Society:		  #797385
Food:			    #CC9047
Legendary:		#753952
Energy:			  #6534AD
Psyche:			  #ED51C9
Special:		  #CCAAFF

# Flame:		  #FF9633
# Sea:			  #525DFF
# Sky:			  #C7CBFF
# Life:			  #66ED5C
# Land:			  #7A5C33

# CATEGORY SORTING

Fire (Flame)
Water (Sea)
Earth (Land)
Air (Sky)
Light (Light)
Life (Life)

# Base elements

Fire (Flame)
Life (Life)
Light (Light)
Earth (Land)
Water (Sea)
Air (Sky)



# The rest

Water + Water =				Pond (Sea)
Lake + Lake = 				Lake (Sea)
Fire + Fire = 				Flame (Flame)
Fire + Flame = 				Heat (Flame)
Plant + Water =				Seagrass (Flora)
Life + Water = 				Seagrass (Flora)
Earth + Earth = 			Hill (Landmass)
Hill + Hill =				Mountain (Landmass)
Mountain + Ocean = 			Planet (Astral)
Sea + Earth = 				Island (Landmass)
Ocean + Earth =				Island (Landmass)
Water + Earth =				Mud (Land)
Life + Mud = 				Seed (Flora)
Life + Organism =			Animal (Fauna)
Lake + Lake = 				Sea (Sea)
Sea + Sea = 				Ocean (Sea)
Light + Light = 			Ray (Light)
Ray + Fire = 				Star (Astral)
Air + Air = 				Wind (Sky)
Air + Wind = 				Sky (Sky)
Sky + Air = 				Atmosphere (Sky)
Sky + Sky = 				Space (Astral)
Star + Planet = 			Sun (Astral)
Light + Space = 			Darkness (Shadow)
Space + Energy = 			Time (Chronal)
Time + Energy = 			Space (Astral)
Time + Seed = 				Sprout (Flora)
Time + Plant = 				Tree (Flora)
Time + Tree = 				Flower (Flora)
Tree + Tree = 				Forest (Flora)
Air + Water = 				Cloud (Sky)
Cloud + Water = 			Rain (Sea)
Cloud + Rain = 				Storm (Sea)
Storm + Water = 			Lightning (Electric)
Cloud + Storm = 			Lightning (Electric)
Light + Ray = 				Fire (Flame)
Fire + Mountain = 			Volcano (Landmass)
Volcano + Fire = 			Magma (Flame)
Magma + Magma = 			Lava (Flame)
Ocean + Earth = 			Sand (Land)
Sand + Sand = 				Beach (Landmass)
Forest + Forest = 			Jungle (Flora)
Darkness + Darkness = 		Shadow (Shadow)
Life + Time = 				Evolution (Chronal)
Sand + Earth = 				Gravel (Land)
Gravel + Gravel =			Pebble (Land)
Gravel + Earth =			Pebble (Land)
Pebble + Water = 			Sand (Land)
Pebble + Earth = 			Rock (Land)
Rock + Water = 				Pebble (Land)
Rock + Flame = 				Ore (Metallic)
Heat + Planet = 			Summer (Chronal)
Flower + Planet = 			Spring (Chronal)
Spring + Plant = 			Flower (Flora)
Summer + Time = 			Autumn (Chronal)
Autumn + Time = 			Winter (Chronal)
Winter + Time = 			Spring (Chronal)
Spring + Time = 			Summer (Chronal)
Winter + Cloud = 			Snow (Frost)
Winter + Water = 			Ice (Frost)
